name,parent_region,aliases,description,note
近畿,日本,畿内,日本史の中核地域,03 の次に import
関東,日本,,武家政権の中心となった地域,03 の次に import
東海,日本,,本州中部太平洋側,03 の次に import
東北,日本,,本州北東部,03 の次に import
九州,日本,,日本列島南西部,03 の次に import
北海道,日本,,日本列島北部,03 の次に import
華北,中国,,黄河下流域を中心とする地域,03 の次に import
華中,中国,,長江中流域を中心とする地域,03 の次に import
江南,中国,,長江下流南岸の豊穣地域,03 の次に import
華南,中国,,中国南部の沿海と内陸,03 の次に import
四川,中国,,四川盆地と周辺,03 の次に import
雲南,中国,,中国南西部の高原地域,03 の次に import
嶺南,中国,,華南南部の歴史地域名,03 の次に import
アッティカ,ギリシア,,アテナイを含む地域,03 の次に import
ペロポネソス,ギリシア,,ギリシア南部半島,03 の次に import
マケドニア,ギリシア,,北ギリシアと周辺,03 の次に import
ラティウム,イタリア,,ローマを含む中部イタリア,03 の次に import
ロンバルディア,イタリア,,北イタリアの重要地域,03 の次に import
トスカーナ,イタリア,,中部イタリアの文化地域,03 の次に import
シチリア,イタリア,,地中海中央の大島,03 の次に import
アンダルシア,イベリア半島,,南イベリアの歴史地域,03 の次に import
カスティーリャ,イベリア半島,,内陸イベリアの歴史地域,03 の次に import
カタルーニャ,イベリア半島,,北東イベリアの沿岸地域,03 の次に import
イングランド,ブリテン諸島,,ブリテン島南部中部,03 の次に import
スコットランド,ブリテン諸島,,ブリテン島北部,03 の次に import
アイルランド,ブリテン諸島,,アイルランド島,03 の次に import
ノルマンディー,ガリア,,フランス北西部の歴史地域,03 の次に import
イル＝ド＝フランス,ガリア,,パリを中心とする地域,03 の次に import
ブルゴーニュ,ガリア,,東部フランスの歴史地域,03 の次に import
プロイセン,ゲルマン地域,,ドイツ東方の歴史地域,03 の次に import
バイエルン,ゲルマン地域,,南ドイツの主要地域,03 の次に import
ザクセン,ゲルマン地域,,中北ドイツの歴史地域,03 の次に import
ノルウェー,スカンディナヴィア,,北欧西部,03 の次に import
スウェーデン,スカンディナヴィア,,北欧東部,03 の次に import
デンマーク,スカンディナヴィア,,北海とバルト海の結節地域,03 の次に import
キエフ,ルーシ,,キエフ公国の中心地域,03 の次に import
ノヴゴロド,ルーシ,,北西ルーシの中心,03 の次に import
モスクワ,ルーシ,,後期ロシア史の中核地域,03 の次に import
上エジプト,エジプト,,ナイル上流側の地域,03 の次に import
下エジプト,エジプト,,ナイル下流デルタ地域,03 の次に import
アルジェリア,マグリブ,,北西アフリカ中央部,03 の次に import
モロッコ,マグリブ,,北西アフリカ西端,03 の次に import
チュニジア,マグリブ,,古代カルタゴの中心地域,03 の次に import
マリ内陸,ニジェール川流域,,ガーナ帝国とマリ帝国に関わる内陸地域,03 の次に import
ソンガイ地域,ニジェール川流域,,ニジェール中流域の帝国圏,03 の次に import
アクスム,エチオピア高原,,古代アクスム王国の中核,03 の次に import
アビシニア,エチオピア高原,,中世以降の高原国家圏,03 の次に import
ザンジバル,スワヒリ海岸,,東アフリカ海上交易の拠点,03 の次に import
キルワ,スワヒリ海岸,,中世スワヒリ都市国家の一つ,03 の次に import
カタンガ,コンゴ盆地,,中央アフリカ南東部の地域,03 の次に import
トランスヴァール,南アフリカ,,南部アフリカ内陸高原,03 の次に import
ケープ地方,南アフリカ,,南アフリカ南西端,03 の次に import
ニューイングランド,アメリカ合衆国東部,,北米東海岸北部,03 の次に import
バージニア,アメリカ合衆国東部,,英領植民地史の中核,03 の次に import
カリフォルニア,アメリカ合衆国西部,,太平洋岸の主要地域,03 の次に import
ロッキー山脈地帯,アメリカ合衆国西部,,北米西部の山岳地域,03 の次に import
アステカ地域,メキシコ高原,,テノチティトラン周辺,03 の次に import
マヤ低地,ユカタン,,マヤ文明の主要展開地,03 の次に import
クスコ,ペルー高地,,インカ帝国の都を含む地域,03 の次に import
ボリビア高地,アンデス,,アルティプラーノを含む高地地域,03 の次に import
ブエノスアイレス,ラプラタ流域,,ラプラタ河口の中心地域,03 の次に import
パタゴニア,南米南部,,南米南端の広域地域,03 の次に import
シドニー地方,ニューサウスウェールズ,,豪州東南部沿岸,03 の次に import
パプア,ニューギニア,,ニューギニア東西を含む地域名,03 の次に import
オアフ,ハワイ,,ハワイ王国史で重要な島,03 の次に import
マリアナ諸島,グアム,,西太平洋の島嶼群,03 の次に import
